unit_name,publisher,article_title,article_url
Karur,betasg.inflibnet.ac.in,"Groundwater quality modeling of Amaravathi river basin of Karur district, Tamil nadu, using visual Modflow",https://betasg.inflibnet.ac.in/items/cd2f2c1a-83f4-40e0-aebc-61f75e1eb734
Karur,deccanchronicle.com,"Massive Fire at Coimbatore Bus Body-Building Company, Three Buses Reduced to Ashes",https://www.deccanchronicle.com/southern-states/tamil-nadu/massive-fire-at-coimbatore-bus-body-building-company-three-buses-reduced-to-ashes-1970311
Karur,downtoearth.org.in,"Farmers affected by Karur’s dye industry to exercise NOTA",https://www.downtoearth.org.in/environment/farmers-affected-by-karurs-dye-industry-to-exercise-nota-44103
Karur,en.wikipedia.org,"2025 Karur crowd crush - Wikipedia",https://en.wikipedia.org/wiki/2025_Karur_crowd_crush
Karur,en.wikipedia.org,"2026 Tamil Nadu Legislative Assembly election - Wikipedia",https://en.wikipedia.org/wiki/2026_Tamil_Nadu_Legislative_Assembly_election
Karur,indiaelectionpolls.com,"Karur Constituency 2026 — Candidates, Parties & Electors | Tamil Nadu Election | India Election Polls",https://indiaelectionpolls.com/upcoming-election/tamil-nadu/2026/karur/
Karur,indianexpress.com,"‘Leader vanished, no remorse, it shows his and party’s mental state’: Madras High Court tears into Vijay’s TVK, faults govt leniency",https://indianexpress.com/article/cities/chennai/madras-high-court-sit-vijay-rally-karur-10285586/
Karur,indiatoday.in,"Karur Election Result 2026: Karur Assembly Seat Results, MLA's, Candidates, Vote Share - India Today",https://www.indiatoday.in/elections/assembly/tamil-nadu/karur-constituency-result-33135
Karur,indiatvnews.com,"Karur stampede: Madras High Court to hear today Vijay's TVK's plea seeking CBI probe  - India TV News",https://www.indiatvnews.com/tamil-nadu/chennai-vijay-karur-rally-stampede-tvk-plea-madras-high-court-hearing-cbi-sit-probe-latest-updates-2025-09-29-1010510
Karur,journalijdr.com,"Impact of dyeing industrial effluents on the groundwater quality in karur town India | International Journal of Development Research (IJDR)",https://www.journalijdr.com/impact-dyeing-industrial-effluents-groundwater-quality-karur-town-india
Karur,karur.nic.in,"ElectionNews2026 |  Karur District, Government of Tamil Nadu  | India",https://karur.nic.in/category/election2026/
Karur,karur.nic.in,"Tamilnadu Legislative Assembly Elections 2026 | Karur District, Government of Tamil Nadu | India",https://karur.nic.in/election-2026/
Karur,latestly.com,"India News | Fire Breaks out at Bus Body-building Unit in Tamil Nadu's Karur; 3 Buses Gutted | LatestLY",https://www.latestly.com/agency-news/india-news-fire-breaks-out-at-bus-body-building-unit-in-tamil-nadus-karur-3-buses-gutted-7513512.html
Karur,legallypresent.in,"Madras High Court Condemns Vijay and TVK Leaders for 'Fleeing' Karur Stampede Site | Orders SIT Probe | Legally Present",https://legallypresent.in/madras-high-court-condemns-vijay-and-tvk-leaders/
Karur,livelaw.in,"Karur Stampede Tragedy | Madras High Court Calls Off Urgent Hearing Against Grant Of Permission For TVK Rallies",https://www.livelaw.in/high-court/madras-high-court/madras-high-court-tvk-karur-tragedy-victim-against-future-permission-305390
Karur,m.dailyhunt.in,"Fire breaks out at bus body-building unit in Tamil Nadu's Karur; 3 buses gutted",https://m.dailyhunt.in/news/india/english/ani+english-epaper-anieng/fire+breaks+out+at+bus+bodybuilding+unit+in+tamil+nadus+karur+3+buses+gutted-newsid-n719329593
Karur,news18.com,"Karur Candidates 2026: Full List of Contestants from Karur Assembly Constituency in Tamil Nadu Election",https://www.news18.com/elections/karur-tamil-nadu-contesting-candidates-parties-2026-full-list-10039508.html
Karur,news18.com,"Vijay Sees No Victory In HC: Why No TN Govt Jobs For Karur Stampede Victims’ Kin Is A Setback For TVK",https://www.news18.com/explainers/vijay-sees-no-victory-in-hc-why-no-tn-govt-jobs-for-karur-stampede-victims-kin-is-a-setback-for-tvk-ws-l-10236346.html
Karur,news9live.com,"Supreme court reserves order on Vijay’s TVK plea challenging SIT in Karur stampede case",https://www.news9live.com/state/tamil-nadu/supreme-court-reserves-order-on-vijays-tvk-plea-challenging-sit-in-karur-stampede-case-2896210
Karur,ntvtelugu.com,"Karur Stampede: పథకం ప్రకారం జరిగిన కుట్ర.. నేడు హైకోర్టులో టీవీకే పిటిషన్‌పై విచారణ!",https://ntvtelugu.com/news/karur-stampede-tvk-petition-hearing-in-madras-high-court-today-conspiracy-alleged-871135.html
Karur,results.eci.gov.in,"Election Commission of India",https://results.eci.gov.in/ResultAcGenMay2026/candidateswise-S22135.htm
Karur,rrhevirex.in,"Contact RR Hevirex | Karur Seat Manufacturers & Bus Body Coach Builders",https://rrhevirex.in/contact/
Karur,thehindu.com,"Obstacles continue for new bus stand in Karur ",https://www.thehindu.com/news/cities/Tiruchirapalli/obstacles-continue-for-new-bus-stand-in-karur/article67734626.ece
Karur,thehindu.com,"Karur stampede hearing updates: Supreme Court to hear TVK’s plea challenging High Court order to set up SIT",https://www.thehindu.com/news/national/tamil-nadu/supreme-court-hearing-karur-stampede-vijay-tvk-updates-october-10/article70146848.ece
Karur,thehindu.com,"TVK rally stampede highlights: Madurai Bench of Madras High Court to hear TVK’s case on September 29",https://www.thehindu.com/news/national/tamil-nadu/tvk-vijay-rally-karur-updates-on-september-27-2025/article70102676.ece
Karur,thenewsmill.com,"Fire destroys three buses at Karur bus body-building unit",https://thenewsmill.com/2026/07/fire-destroys-three-buses-at-karur-bus-body-building-unit/
Karur,timesofindia.indiatimes.com,"Karur stampede case: Supreme Court to hear plea alleging TVK ministers 'influencing' witnesses",https://timesofindia.indiatimes.com/india/karur-stampede-case-sc-to-hear-plea-alleging-tvk-ministers-influencing-witnesses/articleshow/132208503.cms
Karur,tnelectionresult.com,"Karur District Election Result 2026 — Seats, winners, margins | TNElectionResult.com",https://tnelectionresult.com/districts/Karur
Karur,tnverdict.in,"Karur TN 2026 election result — 4 ACs decoded",https://tnverdict.in/assembly/2026/district/karur
Karur,twitter.com,"Citizen Grievance / Social Report on: ""Karur"" ""Thirumanilayur"" bus stand",https://twitter.com/tn_citizen/status/188439227206?q=%22Karur%22+%22Thirumanilayur%22+bus+stand
Karur,twitter.com,"Citizen Grievance / Social Report on: Karur byelection Tamil Nadu 2026",https://twitter.com/tn_citizen/status/188439239386?q=Karur+byelection+Tamil+Nadu+2026
Karur,twitter.com,"Citizen Grievance / Social Report on: Karur stampede TVK High Court 2025",https://twitter.com/tn_citizen/status/188439265250?q=Karur+stampede+TVK+High+Court+2025
Karur,twitter.com,"Citizen Grievance / Social Report on: Amaravathi river pollution Karur dyeing effluent",https://twitter.com/tn_citizen/status/188439269626?q=Amaravathi+river+pollution+Karur+dyeing+effluent
Karur,twitter.com,"Citizen Grievance / Social Report on: ""Karuppampalayam"" bus body GST Karur",https://twitter.com/tn_citizen/status/188439282268?q=%22Karuppampalayam%22+bus+body+GST+Karur
Karur,x.com,"",https://x.com/updates_tn/status/1567025895361384448
Karur,youtube.com,"Citizen Grievance / Social Report on: Karur byelection Tamil Nadu 2026",https://youtube.com/watch?v=0120fdfa&q=Karur+byelection+Tamil+Nadu+2026
Karur,youtube.com,"Citizen Grievance / Social Report on: ""Karuppampalayam"" bus body GST Karur",https://youtube.com/watch?v=034e979c&q=%22Karuppampalayam%22+bus+body+GST+Karur
Karur,youtube.com,"Citizen Grievance / Social Report on: Karur stampede TVK High Court 2025",https://youtube.com/watch?v=03a24182&q=Karur+stampede+TVK+High+Court+2025
Karur,youtube.com,"Citizen Grievance / Social Report on: Amaravathi river pollution Karur dyeing effluent",https://youtube.com/watch?v=0417d0ba&q=Amaravathi+river+pollution+Karur+dyeing+effluent
Karur,youtube.com,"Citizen Grievance / Social Report on: ""Karur"" ""Thirumanilayur"" bus stand",https://youtube.com/watch?v=04f778e6&q=%22Karur%22+%22Thirumanilayur%22+bus+stand
Perundurai,twitter.com,"Citizen Grievance / Social Report on: Perundurai byelection Tamil Nadu 2026",https://twitter.com/tn_citizen/status/188439216378?q=Perundurai+byelection+Tamil+Nadu+2026
Perundurai,twitter.com,"Citizen Grievance / Social Report on: Erode turmeric price MSP 2025 2026",https://twitter.com/tn_citizen/status/188439219458?q=Erode+turmeric+price+MSP+2025+2026
Perundurai,twitter.com,"Citizen Grievance / Social Report on: Perundurai TAHDCO sheds allotment SC ST",https://twitter.com/tn_citizen/status/188439246102?q=Perundurai+TAHDCO+sheds+allotment+SC+ST
Perundurai,twitter.com,"Citizen Grievance / Social Report on: Erode turmeric farmers demand MSP",https://twitter.com/tn_citizen/status/188439256985?q=Erode+turmeric+farmers+demand+MSP
Perundurai,twitter.com,"Citizen Grievance / Social Report on: Perundurai SIPCOT CETP effluent plant",https://twitter.com/tn_citizen/status/188439270921?q=Perundurai+SIPCOT+CETP+effluent+plant
Perundurai,youtube.com,"Citizen Grievance / Social Report on: Erode turmeric farmers demand MSP",https://youtube.com/watch?v=03067d79&q=Erode+turmeric+farmers+demand+MSP
Perundurai,youtube.com,"Citizen Grievance / Social Report on: Erode turmeric price MSP 2025 2026",https://youtube.com/watch?v=042f76c2&q=Erode+turmeric+price+MSP+2025+2026
Perundurai,youtube.com,"Citizen Grievance / Social Report on: Perundurai byelection Tamil Nadu 2026",https://youtube.com/watch?v=049ece5a&q=Perundurai+byelection+Tamil+Nadu+2026
Perundurai,youtube.com,"Citizen Grievance / Social Report on: Perundurai SIPCOT CETP effluent plant",https://youtube.com/watch?v=056da1c9&q=Perundurai+SIPCOT+CETP+effluent+plant
Perundurai,youtube.com,"Citizen Grievance / Social Report on: Perundurai TAHDCO sheds allotment SC ST",https://youtube.com/watch?v=05cee8d6&q=Perundurai+TAHDCO+sheds+allotment+SC+ST
"Tiruchirappalli (East)",bhel.com,"Official Website of Bharat Heavy Electricals Limited, New Delhi, India |",https://www.bhel.com/
"Tiruchirappalli (East)",dictiruchi.in,"District Industries Centre,Tiruchirappalli district",https://www.dictiruchi.in/scenario.html
"Tiruchirappalli (East)",dtnext.in,"Tiruchy vendors write to CM Vijay to halt Panjapur market project",https://www.dtnext.in/news/tamilnadu/tiruchy-vendors-write-to-cm-vijay-to-halt-panjapur-market-project
"Tiruchirappalli (East)",en.wikipedia.org,"Gandhi Market - Wikipedia",https://en.wikipedia.org/wiki/Gandhi_Market
"Tiruchirappalli (East)",etvbharat.com,"""திருச்சி காந்தி சந்தையை இடமாற்றம் செய்யக்கூடாது"" - ஆட்சியரிடம் எஸ்டிபிஐ மனு! - TRICHY GANDHI MARKET",https://www.etvbharat.com/ta/!state/gandhi-market-should-not-be-relocated-petition-by-of-sdpi-party-traders-wing-to-collector-tns24070202635
"Tiruchirappalli (East)",facebook.com,"",https://www.facebook.com/100065267940946/posts/panjapur-market-announcement-gives-life-to-kallikudi-marketnow-trichy-will-have-/938392408346349/
"Tiruchirappalli (East)",hellolandmark.com,"SIDCO Industrial Estate, Thuvakudi, Trichy District, Tamil Nadu | HelloLandMark",https://hellolandmark.com/sidco-industrial-estate-thuvakudi-trichy-district-tamil-nadu/
"Tiruchirappalli (East)",in.linkedin.com,"BHEL Unit: Tiruchirappalli | LinkedIn",https://in.linkedin.com/company/bhel-unit-tiruchirappalli
"Tiruchirappalli (East)",indiaelectionpolls.com,"Tiruchirappalli (East) Constituency 2026 — Candidates, Parties & Electors | Tamil Nadu Election | India Election Polls",https://indiaelectionpolls.com/upcoming-election/tamil-nadu/2026/tiruchirappalli-east/
"Tiruchirappalli (East)",indiastats.org,"Tiruchirappalli (East) Assembly - Election Data & Statistics",https://indiastats.org/tamil-nadu/assembly/dt6/tiruchirappalli-east
"Tiruchirappalli (East)",news18.com,"Tiruchirappalli (East) Candidates 2026: Full List of Contestants from Tiruchirappalli (East) Assembly Constituency in Tamil Nadu Election",https://www.news18.com/elections/tiruchirappalli-east-tamil-nadu-contesting-candidates-parties-2026-full-list-10039514.html
"Tiruchirappalli (East)",results.eci.gov.in,"Election Commission of India",https://results.eci.gov.in/ResultAcGenMay2026/candidateswise-S22141.htm
"Tiruchirappalli (East)",thehindu.com,"Decision against relocating Gandhi Market brings cheer to traders ",https://www.thehindu.com/news/cities/Tiruchirapalli/decision-against-relocating-gandhi-market-brings-cheer-to-traders/article69396545.ece
"Tiruchirappalli (East)",thehindu.com,"Gandhi Market traders double down on any move to shift them",https://www.thehindu.com/news/cities/Tiruchirapalli/gandhi-market-traders-double-down-on-any-move-to-shift-them/article69478726.ece
"Tiruchirappalli (East)",thehindu.com,"Gandhi Market traders wary of ongoing construction of integrated market at Panjapur",https://www.thehindu.com/news/cities/Tiruchirapalli/gandhi-market-traders-wary-of-ongoing-construction-of-integrated-market-at-panjapur/article69999971.ece
"Tiruchirappalli (East)",timesofindia.indiatimes.com,"Bhel Trichy allocates Rs70cr for modernisation, recruits over 100 employees",https://timesofindia.indiatimes.com/city/trichy/bhel-trichy-allocates-rs70cr-for-modernisation-recruits-over-100-employees/articleshow/132863886.cms
"Tiruchirappalli (East)",timesofindia.indiatimes.com,"Traders protest demanding reopening of Gandhi market after minor fire | Trichy News - Times of India",https://timesofindia.indiatimes.com/city/trichy/traders-protest-demanding-reopening-of-gandhi-market-after-minor-fire/articleshow/78212171.cms
"Tiruchirappalli (East)",timesofindia.indiatimes.com,"Traders stage protest demanding reopening of Trichyâs Gandhi Market | Trichy News - Times of India",https://timesofindia.indiatimes.com/city/trichy/traders-stage-protest-demanding-reopening-of-trichys-gandhi-market/articleshow/78206417.cms
"Tiruchirappalli (East)",tiruchirappalli.nic.in,"District Industry Centre | TIRUCHIRAPPALLI   DISTRICT , Govt. of Tamil Nadu | India",https://tiruchirappalli.nic.in/district-industry-centre/
"Tiruchirappalli (East)",tn-elections.org,"Tiruchirapalli (east) By-Election 2026 - Date TBA | TN Elections",https://tn-elections.org/by-election/trichy-east-2026/
"Tiruchirappalli (East)",tn-elections.org,"Tiruchirapalli (east) (Tiruchirappalli) 2026 Result & Winner | TN Elections",https://tn-elections.org/constituency/tiruchirapalli-east/
"Tiruchirappalli (East)",trichy.bhel.com,"BHEL TRICHY",https://trichy.bhel.com/
"Tiruchirappalli (East)",twitter.com,"Citizen Grievance / Social Report on: Tiruchirappalli East byelection 2026",https://twitter.com/tn_citizen/status/188439230114?q=Tiruchirappalli+East+byelection+2026
"Tiruchirappalli (East)",twitter.com,"Citizen Grievance / Social Report on: ""Gandhi Market"" Trichy upgrade OR relocation",https://twitter.com/tn_citizen/status/188439235915?q=%22Gandhi+Market%22+Trichy+upgrade+OR+relocation
"Tiruchirappalli (East)",twitter.com,"Citizen Grievance / Social Report on: BHEL Thuvakudi MSME industrial gas Trichy",https://twitter.com/tn_citizen/status/188439258221?q=BHEL+Thuvakudi+MSME+industrial+gas+Trichy
"Tiruchirappalli (East)",twitter.com,"Citizen Grievance / Social Report on: ""Gandhi Market"" traders protest Trichy",https://twitter.com/tn_citizen/status/18843928381?q=%22Gandhi+Market%22+traders+protest+Trichy
"Tiruchirappalli (East)",twitter.com,"Citizen Grievance / Social Report on: ""Gandhi Market"" Panjapur Tiruchirappalli",https://twitter.com/tn_citizen/status/188439286801?q=%22Gandhi+Market%22+Panjapur+Tiruchirappalli
"Tiruchirappalli (East)",vijay.com,"Tiruchirappalli East Bypoll Schedule Confirmed — Nominations June 1–8, Poll June 18; TVK Prepares Candidate · Press — TVK",https://vijay.com/en/press/tiruchirappalli-east-bypoll-election-commission-schedule-june-18-tvk-candidate-2026-06-02
"Tiruchirappalli (East)",youtube.com,"Citizen Grievance / Social Report on: Tiruchirappalli East byelection 2026",https://youtube.com/watch?v=00a84e62&q=Tiruchirappalli+East+byelection+2026
"Tiruchirappalli (East)",youtube.com,"Citizen Grievance / Social Report on: BHEL Thuvakudi MSME industrial gas Trichy",https://youtube.com/watch?v=00bf9f8d&q=BHEL+Thuvakudi+MSME+industrial+gas+Trichy
"Tiruchirappalli (East)",youtube.com,"Citizen Grievance / Social Report on: ""Gandhi Market"" traders protest Trichy",https://youtube.com/watch?v=02ad3f5d&q=%22Gandhi+Market%22+traders+protest+Trichy
"Tiruchirappalli (East)",youtube.com,"Citizen Grievance / Social Report on: ""Gandhi Market"" Panjapur Tiruchirappalli",https://youtube.com/watch?v=05af7cb1&q=%22Gandhi+Market%22+Panjapur+Tiruchirappalli
"Tiruchirappalli (East)",youtube.com,"Citizen Grievance / Social Report on: ""Gandhi Market"" Trichy upgrade OR relocation",https://youtube.com/watch?v=05c5994b&q=%22Gandhi+Market%22+Trichy+upgrade+OR+relocation
Viralimalai,twitter.com,"Citizen Grievance / Social Report on: Viralimalai byelection Tamil Nadu 2026",https://twitter.com/tn_citizen/status/188439226710?q=Viralimalai+byelection+Tamil+Nadu+2026
Viralimalai,twitter.com,"Citizen Grievance / Social Report on: Viralimalai peacock temple hill protection",https://twitter.com/tn_citizen/status/188439241476?q=Viralimalai+peacock+temple+hill+protection
Viralimalai,twitter.com,"Citizen Grievance / Social Report on: Pudukkottai kanmoi tank desilting PWD irrigation",https://twitter.com/tn_citizen/status/188439248653?q=Pudukkottai+kanmoi+tank+desilting+PWD+irrigation
Viralimalai,twitter.com,"Citizen Grievance / Social Report on: Viralimalai Pudukkottai irrigation tank",https://twitter.com/tn_citizen/status/188439262761?q=Viralimalai+Pudukkottai+irrigation+tank
Viralimalai,twitter.com,"Citizen Grievance / Social Report on: Viralimalai peafowl sanctuary Shanmuganathar",https://twitter.com/tn_citizen/status/188439294440?q=Viralimalai+peafowl+sanctuary+Shanmuganathar
Viralimalai,youtube.com,"Citizen Grievance / Social Report on: Viralimalai Pudukkottai irrigation tank",https://youtube.com/watch?v=00027bc9&q=Viralimalai+Pudukkottai+irrigation+tank
Viralimalai,youtube.com,"Citizen Grievance / Social Report on: Viralimalai byelection Tamil Nadu 2026",https://youtube.com/watch?v=01c10416&q=Viralimalai+byelection+Tamil+Nadu+2026
Viralimalai,youtube.com,"Citizen Grievance / Social Report on: Viralimalai peafowl sanctuary Shanmuganathar",https://youtube.com/watch?v=04ac3448&q=Viralimalai+peafowl+sanctuary+Shanmuganathar
Viralimalai,youtube.com,"Citizen Grievance / Social Report on: Pudukkottai kanmoi tank desilting PWD irrigation",https://youtube.com/watch?v=051ae50d&q=Pudukkottai+kanmoi+tank+desilting+PWD+irrigation
Viralimalai,youtube.com,"Citizen Grievance / Social Report on: Viralimalai peacock temple hill protection",https://youtube.com/watch?v=054b9d04&q=Viralimalai+peacock+temple+hill+protection
