booth_id,gender,age_group,social_group,occupation,n_voters
1,Female,26-35,SC,Cultivator,5
1,Female,26-35,SC,Ag-Laborer,20
1,Female,26-35,SC,Other-Worker,1
1,Female,26-35,SC,Non-Worker,1
1,Female,26-35,ST,Cultivator,1
1,Female,26-35,ST,Ag-Laborer,2
1,Female,26-35,ST,Other-Worker,5
1,Female,26-35,ST,Non-Worker,4
1,Female,36-50,General/OBC,Cultivator,1
1,Female,36-50,General/OBC,Ag-Laborer,14
1,Female,36-50,General/OBC,Other-Worker,3
1,Female,36-50,General/OBC,Non-Worker,11
1,Female,36-50,SC,Cultivator,11
1,Female,36-50,SC,Ag-Laborer,6
1,Female,36-50,SC,Other-Worker,4
1,Female,36-50,SC,Non-Worker,6
1,Female,36-50,ST,Cultivator,1
1,Female,36-50,ST,Ag-Laborer,6
1,Female,36-50,ST,Other-Worker,1
1,Female,36-50,ST,Non-Worker,8
1,Female,51+,General/OBC,Cultivator,2
1,Female,51+,General/OBC,Ag-Laborer,11
1,Female,51+,General/OBC,Other-Worker,7
1,Female,51+,General/OBC,Non-Worker,2
1,Female,51+,SC,Cultivator,1
1,Female,51+,SC,Ag-Laborer,3
1,Female,51+,SC,Other-Worker,2
1,Female,51+,SC,Non-Worker,2
1,Female,51+,ST,Cultivator,7
1,Female,51+,ST,Ag-Laborer,8
1,Female,51+,ST,Other-Worker,2
1,Female,51+,ST,Non-Worker,4
2,Male,18-25,General/OBC,Cultivator,2
2,Male,18-25,General/OBC,Ag-Laborer,1
2,Male,18-25,General/OBC,Other-Worker,6
2,Male,18-25,General/OBC,Non-Worker,7
2,Male,18-25,SC,Cultivator,1
2,Male,18-25,SC,Ag-Laborer,9
2,Male,18-25,SC,Other-Worker,9
2,Male,18-25,SC,Non-Worker,5
2,Male,18-25,ST,Cultivator,1
2,Male,18-25,ST,Ag-Laborer,9
2,Male,18-25,ST,Other-Worker,14
2,Male,18-25,ST,Non-Worker,9
2,Male,26-35,General/OBC,Cultivator,6
2,Male,26-35,General/OBC,Ag-Laborer,13
2,Male,26-35,General/OBC,Other-Worker,1
2,Male,26-35,General/OBC,Non-Worker,12
2,Male,26-35,SC,Cultivator,20
2,Male,26-35,SC,Ag-Laborer,8
2,Male,26-35,SC,Other-Worker,3
2,Male,26-35,SC,Non-Worker,1
2,Male,26-35,ST,Cultivator,4
2,Male,26-35,ST,Ag-Laborer,13
2,Male,26-35,ST,Other-Worker,2
2,Male,26-35,ST,Non-Worker,5
2,Male,36-50,General/OBC,Cultivator,1
2,Male,36-50,General/OBC,Ag-Laborer,7
2,Male,36-50,General/OBC,Other-Worker,1
2,Male,36-50,General/OBC,Non-Worker,8
2,Male,36-50,SC,Cultivator,6
2,Male,36-50,SC,Ag-Laborer,5
2,Male,36-50,SC,Other-Worker,2
2,Male,36-50,SC,Non-Worker,3
2,Male,36-50,ST,Cultivator,1
2,Male,36-50,ST,Ag-Laborer,2
2,Male,36-50,ST,Other-Worker,1
2,Male,36-50,ST,Non-Worker,1
2,Male,51+,General/OBC,Cultivator,7
2,Male,51+,General/OBC,Ag-Laborer,3
2,Male,51+,General/OBC,Other-Worker,3
2,Male,51+,General/OBC,Non-Worker,2
2,Male,51+,SC,Cultivator,16
2,Male,51+,SC,Ag-Laborer,21
2,Male,51+,SC,Other-Worker,5
2,Male,51+,SC,Non-Worker,4
2,Male,51+,ST,Cultivator,4
2,Male,51+,ST,Ag-Laborer,1
2,Male,51+,ST,Other-Worker,2
2,Male,51+,ST,Non-Worker,11
2,Female,18-25,General/OBC,Cultivator,2
2,Female,18-25,General/OBC,Ag-Laborer,3
2,Female,18-25,General/OBC,Other-Worker,5
2,Female,18-25,General/OBC,Non-Worker,13
2,Female,18-25,SC,Cultivator,20
2,Female,18-25,SC,Ag-Laborer,4
2,Female,18-25,SC,Other-Worker,2
2,Female,18-25,SC,Non-Worker,14
2,Female,18-25,ST,Cultivator,2
2,Female,18-25,ST,Ag-Laborer,11
2,Female,18-25,ST,Other-Worker,5
2,Female,18-25,ST,Non-Worker,6
2,Female,26-35,General/OBC,Cultivator,1
2,Female,26-35,General/OBC,Ag-Laborer,3
2,Female,26-35,General/OBC,Other-Worker,5
2,Female,26-35,General/OBC,Non-Worker,1
2,Female,26-35,SC,Cultivator,3
2,Female,26-35,SC,Ag-Laborer,15
2,Female,26-35,SC,Other-Worker,1
2,Female,26-35,SC,Non-Worker,1
2,Female,26-35,ST,Cultivator,7
2,Female,26-35,ST,Ag-Laborer,3
2,Female,26-35,ST,Other-Worker,2
2,Female,26-35,ST,Non-Worker,12
2,Female,36-50,General/OBC,Cultivator,6
2,Female,36-50,General/OBC,Ag-Laborer,6
2,Female,36-50,General/OBC,Other-Worker,11
2,Female,36-50,General/OBC,Non-Worker,9
2,Female,36-50,SC,Cultivator,1
2,Female,36-50,SC,Ag-Laborer,13
2,Female,36-50,SC,Other-Worker,5
2,Female,36-50,SC,Non-Worker,1
2,Female,36-50,ST,Cultivator,5
2,Female,36-50,ST,Ag-Laborer,32
2,Female,36-50,ST,Other-Worker,2
2,Female,36-50,ST,Non-Worker,2
2,Female,51+,General/OBC,Cultivator,1
2,Female,51+,General/OBC,Ag-Laborer,1
2,Female,51+,General/OBC,Other-Worker,23
2,Female,51+,General/OBC,Non-Worker,2
2,Female,51+,SC,Cultivator,9
2,Female,51+,SC,Ag-Laborer,5
2,Female,51+,SC,Other-Worker,2
2,Female,51+,SC,Non-Worker,1
2,Female,51+,ST,Cultivator,4
2,Female,51+,ST,Ag-Laborer,4
2,Female,51+,ST,Other-Worker,1
2,Female,51+,ST,Non-Worker,12
3,Male,18-25,General/OBC,Cultivator,3
3,Male,18-25,General/OBC,Ag-Laborer,6
3,Male,18-25,General/OBC,Other-Worker,8
3,Male,18-25,General/OBC,Non-Worker,6
3,Male,18-25,SC,Cultivator,6
3,Male,18-25,SC,Ag-Laborer,1
3,Male,18-25,SC,Other-Worker,3
3,Male,18-25,SC,Non-Worker,8
3,Male,18-25,ST,Cultivator,1
3,Male,18-25,ST,Ag-Laborer,2
3,Male,18-25,ST,Other-Worker,3
3,Male,18-25,ST,Non-Worker,13
3,Male,26-35,General/OBC,Cultivator,3
3,Male,26-35,General/OBC,Ag-Laborer,12
3,Male,26-35,General/OBC,Other-Worker,5
3,Male,26-35,General/OBC,Non-Worker,2
3,Male,26-35,SC,Cultivator,14
3,Male,26-35,SC,Ag-Laborer,2
3,Male,26-35,SC,Other-Worker,5
3,Male,26-35,SC,Non-Worker,4
3,Male,26-35,ST,Cultivator,2
3,Male,26-35,ST,Ag-Laborer,12
3,Male,26-35,ST,Other-Worker,15
3,Male,26-35,ST,Non-Worker,2
3,Male,36-50,General/OBC,Cultivator,6
3,Male,36-50,General/OBC,Ag-Laborer,4
3,Male,36-50,General/OBC,Other-Worker,1
3,Male,36-50,General/OBC,Non-Worker,2
3,Male,36-50,SC,Cultivator,2
3,Male,36-50,SC,Ag-Laborer,1
3,Male,36-50,SC,Other-Worker,7
3,Male,36-50,SC,Non-Worker,4
3,Male,36-50,ST,Cultivator,8
3,Male,36-50,ST,Ag-Laborer,9
3,Male,36-50,ST,Other-Worker,2
3,Male,36-50,ST,Non-Worker,23
3,Male,51+,General/OBC,Cultivator,2
3,Male,51+,General/OBC,Ag-Laborer,6
3,Male,51+,General/OBC,Other-Worker,1
3,Male,51+,General/OBC,Non-Worker,7
3,Male,51+,SC,Cultivator,3
3,Male,51+,SC,Ag-Laborer,1
3,Male,51+,SC,Other-Worker,19
3,Male,51+,SC,Non-Worker,2
3,Male,51+,ST,Cultivator,3
3,Male,51+,ST,Ag-Laborer,5
3,Male,51+,ST,Other-Worker,2
3,Male,51+,ST,Non-Worker,8
3,Female,18-25,General/OBC,Cultivator,8
3,Female,18-25,General/OBC,Ag-Laborer,2
3,Female,18-25,General/OBC,Other-Worker,1
3,Female,18-25,General/OBC,Non-Worker,16
3,Female,18-25,SC,Cultivator,7
3,Female,18-25,SC,Ag-Laborer,2
3,Female,18-25,SC,Other-Worker,15
3,Female,18-25,SC,Non-Worker,28
3,Female,18-25,ST,Cultivator,9
3,Female,18-25,ST,Ag-Laborer,6
3,Female,18-25,ST,Other-Worker,1
3,Female,18-25,ST,Non-Worker,6
3,Female,26-35,General/OBC,Cultivator,3
3,Female,26-35,General/OBC,Ag-Laborer,3
3,Female,26-35,General/OBC,Other-Worker,1
3,Female,26-35,General/OBC,Non-Worker,13
3,Female,26-35,SC,Cultivator,16
3,Female,26-35,SC,Ag-Laborer,21
3,Female,26-35,SC,Other-Worker,14
3,Female,26-35,SC,Non-Worker,2
3,Female,26-35,ST,Cultivator,3
3,Female,26-35,ST,Ag-Laborer,16
3,Female,26-35,ST,Other-Worker,6
3,Female,26-35,ST,Non-Worker,1
3,Female,36-50,General/OBC,Cultivator,14
3,Female,36-50,General/OBC,Ag-Laborer,9
3,Female,36-50,General/OBC,Other-Worker,3
3,Female,36-50,General/OBC,Non-Worker,3
3,Female,36-50,SC,Cultivator,3
3,Female,36-50,SC,Ag-Laborer,8
3,Female,36-50,SC,Other-Worker,8
3,Female,36-50,SC,Non-Worker,7
3,Female,36-50,ST,Cultivator,12
3,Female,36-50,ST,Ag-Laborer,1
3,Female,36-50,ST,Other-Worker,10
3,Female,36-50,ST,Non-Worker,22
3,Female,51+,General/OBC,Cultivator,4
3,Female,51+,General/OBC,Ag-Laborer,18
3,Female,51+,General/OBC,Other-Worker,9
3,Female,51+,General/OBC,Non-Worker,3
3,Female,51+,SC,Cultivator,14
3,Female,51+,SC,Ag-Laborer,4
3,Female,51+,SC,Other-Worker,1
3,Female,51+,SC,Non-Worker,7
3,Female,51+,ST,Cultivator,10
3,Female,51+,ST,Ag-Laborer,1
3,Female,51+,ST,Other-Worker,6
3,Female,51+,ST,Non-Worker,14
4,Male,18-25,General/OBC,Cultivator,6
4,Male,18-25,General/OBC,Ag-Laborer,5
4,Male,18-25,General/OBC,Other-Worker,20
4,Male,18-25,General/OBC,Non-Worker,3
4,Male,18-25,SC,Cultivator,44
4,Male,18-25,SC,Ag-Laborer,4
4,Male,18-25,SC,Other-Worker,3
4,Male,18-25,SC,Non-Worker,1
4,Male,18-25,ST,Cultivator,3
4,Male,18-25,ST,Ag-Laborer,5
4,Male,18-25,ST,Other-Worker,4
4,Male,18-25,ST,Non-Worker,3
4,Male,26-35,General/OBC,Cultivator,2
4,Male,26-35,General/OBC,Ag-Laborer,14
4,Male,26-35,General/OBC,Other-Worker,1
4,Male,26-35,General/OBC,Non-Worker,3
4,Male,26-35,SC,Cultivator,3
4,Male,26-35,SC,Ag-Laborer,1
4,Male,26-35,SC,Other-Worker,7
4,Male,26-35,SC,Non-Worker,7
4,Male,26-35,ST,Cultivator,4
4,Male,26-35,ST,Ag-Laborer,3
4,Male,26-35,ST,Other-Worker,1
4,Male,26-35,ST,Non-Worker,1
4,Male,36-50,General/OBC,Cultivator,3
4,Male,36-50,General/OBC,Ag-Laborer,1
4,Male,36-50,General/OBC,Other-Worker,10
4,Male,36-50,General/OBC,Non-Worker,8
4,Male,36-50,SC,Cultivator,7
4,Male,36-50,SC,Ag-Laborer,4
4,Male,36-50,SC,Other-Worker,2
4,Male,36-50,SC,Non-Worker,8
4,Male,36-50,ST,Cultivator,11
4,Male,36-50,ST,Ag-Laborer,12
4,Male,36-50,ST,Other-Worker,5
4,Male,36-50,ST,Non-Worker,15
4,Male,51+,General/OBC,Cultivator,20
4,Male,51+,General/OBC,Ag-Laborer,20
4,Male,51+,General/OBC,Other-Worker,3
4,Male,51+,General/OBC,Non-Worker,13
4,Male,51+,SC,Cultivator,8
4,Male,51+,SC,Ag-Laborer,1
4,Male,51+,SC,Other-Worker,1
4,Male,51+,SC,Non-Worker,8
4,Male,51+,ST,Cultivator,10
4,Male,51+,ST,Ag-Laborer,2
4,Male,51+,ST,Other-Worker,10
4,Male,51+,ST,Non-Worker,16
4,Female,18-25,General/OBC,Cultivator,3
4,Female,18-25,General/OBC,Ag-Laborer,3
4,Female,18-25,General/OBC,Other-Worker,5
4,Female,18-25,General/OBC,Non-Worker,5
4,Female,18-25,SC,Cultivator,2
4,Female,18-25,SC,Ag-Laborer,1
4,Female,18-25,SC,Other-Worker,14
4,Female,18-25,SC,Non-Worker,2
4,Female,18-25,ST,Cultivator,1
4,Female,18-25,ST,Ag-Laborer,18
4,Female,18-25,ST,Other-Worker,12
4,Female,18-25,ST,Non-Worker,1
4,Female,26-35,General/OBC,Cultivator,3
4,Female,26-35,General/OBC,Ag-Laborer,3
4,Female,26-35,General/OBC,Other-Worker,1
4,Female,26-35,General/OBC,Non-Worker,5
4,Female,26-35,SC,Cultivator,9
4,Female,26-35,SC,Ag-Laborer,4
4,Female,26-35,SC,Other-Worker,3
4,Female,26-35,SC,Non-Worker,16
4,Female,26-35,ST,Cultivator,3
4,Female,26-35,ST,Ag-Laborer,1
4,Female,26-35,ST,Other-Worker,6
4,Female,26-35,ST,Non-Worker,5
4,Female,36-50,General/OBC,Cultivator,1
4,Female,36-50,General/OBC,Ag-Laborer,8
4,Female,36-50,General/OBC,Other-Worker,10
4,Female,36-50,General/OBC,Non-Worker,16
4,Female,36-50,SC,Cultivator,2
4,Female,36-50,SC,Ag-Laborer,3
4,Female,36-50,SC,Other-Worker,1
4,Female,36-50,SC,Non-Worker,6
4,Female,36-50,ST,Cultivator,1
4,Female,36-50,ST,Ag-Laborer,6
4,Female,36-50,ST,Other-Worker,6
4,Female,36-50,ST,Non-Worker,12
4,Female,51+,General/OBC,Cultivator,17
4,Female,51+,General/OBC,Ag-Laborer,10
4,Female,51+,General/OBC,Other-Worker,11
4,Female,51+,General/OBC,Non-Worker,10
4,Female,51+,SC,Cultivator,1
4,Female,51+,SC,Ag-Laborer,15
4,Female,51+,SC,Other-Worker,10
4,Female,51+,SC,Non-Worker,2
4,Female,51+,ST,Cultivator,4
4,Female,51+,ST,Ag-Laborer,9
4,Female,51+,ST,Other-Worker,4
4,Female,51+,ST,Non-Worker,4
5,Male,18-25,General/OBC,Cultivator,4
5,Male,18-25,General/OBC,Ag-Laborer,3
5,Male,18-25,General/OBC,Other-Worker,3
5,Male,18-25,General/OBC,Non-Worker,5
5,Male,18-25,SC,Cultivator,2
5,Male,18-25,SC,Ag-Laborer,14
5,Male,18-25,SC,Other-Worker,2
5,Male,18-25,SC,Non-Worker,3
5,Male,18-25,ST,Cultivator,4
5,Male,18-25,ST,Ag-Laborer,2
5,Male,18-25,ST,Other-Worker,2
5,Male,18-25,ST,Non-Worker,4
5,Male,26-35,General/OBC,Cultivator,4
5,Male,26-35,General/OBC,Ag-Laborer,12
5,Male,26-35,General/OBC,Other-Worker,4
5,Male,26-35,General/OBC,Non-Worker,3
5,Male,26-35,SC,Cultivator,17
5,Male,26-35,SC,Ag-Laborer,2
5,Male,26-35,SC,Other-Worker,26
5,Male,26-35,SC,Non-Worker,5
5,Male,26-35,ST,Cultivator,22
5,Male,26-35,ST,Ag-Laborer,12
5,Male,26-35,ST,Other-Worker,6
5,Male,26-35,ST,Non-Worker,1
5,Male,36-50,General/OBC,Cultivator,3
5,Male,36-50,General/OBC,Ag-Laborer,3
5,Male,36-50,General/OBC,Other-Worker,5
5,Male,36-50,General/OBC,Non-Worker,3
5,Male,36-50,SC,Cultivator,3
5,Male,36-50,SC,Ag-Laborer,2
5,Male,36-50,SC,Other-Worker,7
5,Male,36-50,SC,Non-Worker,1
5,Male,36-50,ST,Cultivator,8
5,Male,36-50,ST,Ag-Laborer,1
5,Male,36-50,ST,Other-Worker,5
5,Male,36-50,ST,Non-Worker,3
5,Male,51+,General/OBC,Cultivator,1
5,Male,51+,General/OBC,Ag-Laborer,5
5,Male,51+,General/OBC,Other-Worker,11
5,Male,51+,General/OBC,Non-Worker,1
5,Male,51+,SC,Cultivator,2
5,Male,51+,SC,Ag-Laborer,2
5,Male,51+,SC,Other-Worker,2
5,Male,51+,SC,Non-Worker,2
5,Male,51+,ST,Cultivator,2
5,Male,51+,ST,Ag-Laborer,1
5,Male,51+,ST,Other-Worker,3
5,Male,51+,ST,Non-Worker,1
5,Female,18-25,General/OBC,Cultivator,1
5,Female,18-25,General/OBC,Ag-Laborer,3
5,Female,18-25,General/OBC,Other-Worker,14
5,Female,18-25,General/OBC,Non-Worker,10
5,Female,18-25,SC,Cultivator,10
5,Female,18-25,SC,Ag-Laborer,4
5,Female,18-25,SC,Other-Worker,16
5,Female,18-25,SC,Non-Worker,9
5,Female,18-25,ST,Cultivator,8
5,Female,18-25,ST,Ag-Laborer,3
5,Female,18-25,ST,Other-Worker,1
5,Female,18-25,ST,Non-Worker,3
5,Female,26-35,General/OBC,Cultivator,1
5,Female,26-35,General/OBC,Ag-Laborer,18
5,Female,26-35,General/OBC,Other-Worker,1
5,Female,26-35,General/OBC,Non-Worker,1
5,Female,26-35,SC,Cultivator,9
5,Female,26-35,SC,Ag-Laborer,5
5,Female,26-35,SC,Other-Worker,6
5,Female,26-35,SC,Non-Worker,5
5,Female,26-35,ST,Cultivator,9
5,Female,26-35,ST,Ag-Laborer,5
5,Female,26-35,ST,Other-Worker,3
5,Female,26-35,ST,Non-Worker,6
5,Female,36-50,General/OBC,Cultivator,5
5,Female,36-50,General/OBC,Ag-Laborer,14
5,Female,36-50,General/OBC,Other-Worker,3
5,Female,36-50,General/OBC,Non-Worker,3
5,Female,36-50,SC,Cultivator,11
5,Female,36-50,SC,Ag-Laborer,13
5,Female,36-50,SC,Other-Worker,2
5,Female,36-50,SC,Non-Worker,4
5,Female,36-50,ST,Cultivator,2
5,Female,36-50,ST,Ag-Laborer,4
5,Female,36-50,ST,Other-Worker,2
5,Female,36-50,ST,Non-Worker,8
5,Female,51+,General/OBC,Cultivator,1
5,Female,51+,General/OBC,Ag-Laborer,3
5,Female,51+,General/OBC,Other-Worker,3
5,Female,51+,General/OBC,Non-Worker,4
5,Female,51+,SC,Cultivator,1
5,Female,51+,SC,Ag-Laborer,4
5,Female,51+,SC,Other-Worker,2
5,Female,51+,SC,Non-Worker,7
5,Female,51+,ST,Cultivator,2
5,Female,51+,ST,Ag-Laborer,3
5,Female,51+,ST,Other-Worker,8
5,Female,51+,ST,Non-Worker,12
6,Male,18-25,General/OBC,Cultivator,5
6,Male,18-25,General/OBC,Ag-Laborer,5
6,Male,18-25,General/OBC,Other-Worker,4
6,Male,18-25,General/OBC,Non-Worker,8
6,Male,18-25,SC,Cultivator,7
6,Male,18-25,SC,Ag-Laborer,10
6,Male,18-25,SC,Other-Worker,12
6,Male,18-25,SC,Non-Worker,5
6,Male,18-25,ST,Cultivator,2
6,Male,18-25,ST,Ag-Laborer,1
6,Male,18-25,ST,Other-Worker,1
6,Male,18-25,ST,Non-Worker,1
6,Male,26-35,General/OBC,Cultivator,1
6,Male,26-35,General/OBC,Ag-Laborer,1
6,Male,26-35,General/OBC,Other-Worker,1
6,Male,26-35,General/OBC,Non-Worker,1
6,Male,26-35,SC,Cultivator,7
6,Male,26-35,SC,Ag-Laborer,1
6,Male,26-35,SC,Other-Worker,5
6,Male,26-35,SC,Non-Worker,4
6,Male,26-35,ST,Cultivator,3
6,Male,26-35,ST,Ag-Laborer,2
6,Male,26-35,ST,Other-Worker,8
6,Male,26-35,ST,Non-Worker,2
6,Male,36-50,General/OBC,Cultivator,11
6,Male,36-50,General/OBC,Ag-Laborer,1
6,Male,36-50,General/OBC,Other-Worker,1
6,Male,36-50,General/OBC,Non-Worker,5
6,Male,36-50,SC,Cultivator,9
6,Male,36-50,SC,Ag-Laborer,7
6,Male,36-50,SC,Other-Worker,14
6,Male,36-50,SC,Non-Worker,3
6,Male,36-50,ST,Cultivator,4
6,Male,36-50,ST,Ag-Laborer,9
6,Male,36-50,ST,Other-Worker,7
6,Male,36-50,ST,Non-Worker,1
6,Male,51+,General/OBC,Cultivator,1
6,Male,51+,General/OBC,Ag-Laborer,21
6,Male,51+,General/OBC,Other-Worker,9
6,Male,51+,General/OBC,Non-Worker,1
6,Male,51+,SC,Cultivator,8
6,Male,51+,SC,Ag-Laborer,1
6,Male,51+,SC,Other-Worker,8
6,Male,51+,SC,Non-Worker,1
6,Male,51+,ST,Cultivator,24
6,Male,51+,ST,Ag-Laborer,2
6,Male,51+,ST,Other-Worker,5
6,Male,51+,ST,Non-Worker,2
6,Female,18-25,General/OBC,Cultivator,6
6,Female,18-25,General/OBC,Ag-Laborer,5
6,Female,18-25,General/OBC,Other-Worker,3
6,Female,18-25,General/OBC,Non-Worker,12
6,Female,18-25,SC,Cultivator,11
6,Female,18-25,SC,Ag-Laborer,4
6,Female,18-25,SC,Other-Worker,10
6,Female,18-25,SC,Non-Worker,1
6,Female,18-25,ST,Cultivator,5
6,Female,18-25,ST,Ag-Laborer,1
6,Female,18-25,ST,Other-Worker,6
6,Female,18-25,ST,Non-Worker,1
6,Female,26-35,General/OBC,Cultivator,2
6,Female,26-35,General/OBC,Ag-Laborer,8
6,Female,26-35,General/OBC,Other-Worker,5
6,Female,26-35,General/OBC,Non-Worker,6
6,Female,26-35,SC,Cultivator,15
6,Female,26-35,SC,Ag-Laborer,1
6,Female,26-35,SC,Other-Worker,12
6,Female,26-35,SC,Non-Worker,1
6,Female,26-35,ST,Cultivator,1
6,Female,26-35,ST,Ag-Laborer,4
6,Female,26-35,ST,Other-Worker,8
6,Female,26-35,ST,Non-Worker,1
6,Female,36-50,General/OBC,Cultivator,6
6,Female,36-50,General/OBC,Ag-Laborer,13
6,Female,36-50,General/OBC,Other-Worker,1
6,Female,36-50,General/OBC,Non-Worker,2
6,Female,36-50,SC,Cultivator,12
6,Female,36-50,SC,Ag-Laborer,19
6,Female,36-50,SC,Other-Worker,2
6,Female,36-50,SC,Non-Worker,10
6,Female,36-50,ST,Cultivator,2
6,Female,36-50,ST,Ag-Laborer,1
6,Female,36-50,ST,Other-Worker,7
6,Female,36-50,ST,Non-Worker,11
6,Female,51+,General/OBC,Cultivator,7
6,Female,51+,General/OBC,Ag-Laborer,1
6,Female,51+,General/OBC,Other-Worker,1
6,Female,51+,General/OBC,Non-Worker,10
6,Female,51+,SC,Cultivator,6
6,Female,51+,SC,Ag-Laborer,13
6,Female,51+,SC,Other-Worker,5
6,Female,51+,SC,Non-Worker,12
6,Female,51+,ST,Cultivator,2
6,Female,51+,ST,Ag-Laborer,1
6,Female,51+,ST,Other-Worker,3
6,Female,51+,ST,Non-Worker,15
7,Male,18-25,General/OBC,Cultivator,5
7,Male,18-25,General/OBC,Ag-Laborer,19
7,Male,18-25,General/OBC,Other-Worker,7
7,Male,18-25,General/OBC,Non-Worker,2
7,Male,18-25,SC,Cultivator,4
7,Male,18-25,SC,Ag-Laborer,4
7,Male,18-25,SC,Other-Worker,2
7,Male,18-25,SC,Non-Worker,2
7,Male,18-25,ST,Cultivator,2
7,Male,18-25,ST,Ag-Laborer,8
7,Male,18-25,ST,Other-Worker,1
7,Male,18-25,ST,Non-Worker,2
7,Male,26-35,General/OBC,Cultivator,4
7,Male,26-35,General/OBC,Ag-Laborer,3
7,Male,26-35,General/OBC,Other-Worker,1
7,Male,26-35,General/OBC,Non-Worker,2
7,Male,26-35,SC,Cultivator,6
7,Male,26-35,SC,Ag-Laborer,1
7,Male,26-35,SC,Other-Worker,27
7,Male,26-35,SC,Non-Worker,1
7,Male,26-35,ST,Cultivator,9
7,Male,26-35,ST,Ag-Laborer,2
7,Male,26-35,ST,Other-Worker,7
7,Male,26-35,ST,Non-Worker,1
7,Male,36-50,General/OBC,Cultivator,3
7,Male,36-50,General/OBC,Ag-Laborer,4
7,Male,36-50,General/OBC,Other-Worker,16
7,Male,36-50,General/OBC,Non-Worker,1
7,Male,36-50,SC,Cultivator,5
7,Male,36-50,SC,Ag-Laborer,4
7,Male,36-50,SC,Other-Worker,3
7,Male,36-50,SC,Non-Worker,4
7,Male,36-50,ST,Cultivator,11
7,Male,36-50,ST,Ag-Laborer,3
7,Male,36-50,ST,Other-Worker,3
7,Male,36-50,ST,Non-Worker,3
7,Male,51+,General/OBC,Cultivator,3
7,Male,51+,General/OBC,Ag-Laborer,1
7,Male,51+,General/OBC,Other-Worker,42
7,Male,51+,General/OBC,Non-Worker,5
7,Male,51+,SC,Cultivator,2
7,Male,51+,SC,Ag-Laborer,3
7,Male,51+,SC,Other-Worker,4
7,Male,51+,SC,Non-Worker,1
7,Male,51+,ST,Cultivator,2
7,Male,51+,ST,Ag-Laborer,1
7,Male,51+,ST,Other-Worker,13
7,Male,51+,ST,Non-Worker,8
7,Female,18-25,General/OBC,Cultivator,2
7,Female,18-25,General/OBC,Ag-Laborer,5
7,Female,18-25,General/OBC,Other-Worker,5
7,Female,18-25,General/OBC,Non-Worker,7
7,Female,18-25,SC,Cultivator,1
7,Female,18-25,SC,Ag-Laborer,1
7,Female,18-25,SC,Other-Worker,3
7,Female,18-25,SC,Non-Worker,2
7,Female,18-25,ST,Cultivator,8
